2019,10,4372149.55,"4,372,149.55"
2020,6,7158137.8599999985,"7,158,137.86"
2019,5,3825681.9699999993,"3,825,681.97"
2019,3,2521827.99,"2,521,827.99"
2020,11,4734730.08,"4,734,730.08"
2020,3,3579943.839999999,"3,579,943.84"
2020,9,3778141.3699999996,"3,778,141.37"
2019,8,3437450.1399999997,"3,437,450.14"
2019,6,7692234.900000002,"7,692,234.90"
2019,1,4516614.82,"4,516,614.82"
2019,2,2895563.9000000004,"2,895,563.90"
2020,12,5884298.26,"5,884,298.26"
2020,4,4069097.779999999,"4,069,097.78"
2020,1,5215699.830000001,"5,215,699.83"
2019,4,4172236.77,"4,172,236.77"
2019,9,4870060.550000001,"4,870,060.55"
2020,8,4714525.210000001,"4,714,525.21"
2019,12,8713776.030000001,"8,713,776.03"
2020,7,5242556.459999999,"5,242,556.46"
2020,2,1959413.0000000002,"1,959,413.00"
2020,10,4869726.8500000015,"4,869,726.85"
2019,7,6638609.210000004,"6,638,609.21"
2019,11,2961318.57,"2,961,318.57"
2020,5,5537943.769999999,"5,537,943.77"
